                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.7882,                 1.2878,                 1.2061,                 0.6438,                 0.4422,                 0.6062,                0.29847,                 2.0722,                 1.3667,                 1.4571,               0.007822,               0.007822,               0.007822
                     46,                 1.7913,                 1.2867,                 1.2113,                0.74281,                0.41706,                0.61659,                 0.3093,                 2.0402,                 1.3463,                 1.4377,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.7775,                 1.2709,                 1.2006,                0.64392,                0.45318,                0.54364,                0.24135,                 2.0879,                  1.351,                 1.4447,               0.007723,               0.007723,               0.007723
                     48,                 1.7737,                 1.2485,                 1.1943,                0.68225,                0.43762,                 0.6163,                 0.2502,                 2.0244,                  1.328,                 1.4167,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.7202,                 1.2146,                 1.1741,                0.62493,                0.57547,                0.63371,                0.33341,                 2.0302,                 1.2941,                 1.4158,               0.007624,               0.007624,               0.007624
                     50,                 1.7366,                 1.2252,                 1.1887,                0.79623,                 0.5643,                0.65687,                0.35028,                 1.9902,                  1.252,                 1.4094,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.7102,                 1.1837,                 1.1744,                0.50732,                 0.6884,                0.63068,                0.32696,                 2.0204,                 1.3119,                 1.4133,               0.007525,               0.007525,               0.007525
                     52,                 1.7253,                 1.1805,                 1.1693,                0.76902,                0.58779,                0.66715,                0.33384,                 1.9675,                 1.2811,                 1.3728,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.6821,                 1.1681,                 1.1701,                0.47508,                0.71025,                0.67219,                0.31321,                 1.9848,                 1.2048,                 1.3777,               0.007426,               0.007426,               0.007426
                     54,                  1.681,                 1.1465,                 1.1643,                0.67391,                0.60782,                0.67221,                0.31715,                 1.9921,                 1.2514,                 1.3831,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.6847,                 1.1388,                 1.1558,                0.72598,                0.58912,                  0.687,                0.35307,                 1.9188,                 1.1827,                 1.3484,               0.007327,               0.007327,               0.007327
                     56,                 1.6704,                 1.1348,                 1.1522,                0.65171,                0.61527,                0.67689,                0.35342,                 1.9812,                  1.213,                 1.3949,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.6546,                 1.1259,                 1.1474,                0.68627,                0.62361,                0.71496,                0.36608,                 1.8764,                 1.1762,                 1.3132,               0.007228,               0.007228,               0.007228
                     58,                 1.6437,                 1.1126,                 1.1506,                0.61466,                 0.6238,                0.68192,                0.35305,                 1.9251,                 1.2059,                 1.3504,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.6365,                 1.0887,                 1.1346,                0.74299,                 0.6134,                0.69203,                0.36656,                 1.9024,                 1.1754,                 1.3412,               0.007129,               0.007129,               0.007129
                     60,                 1.6229,                 1.1043,                 1.1352,                0.63725,                0.64558,                0.69675,                0.36567,                 1.8604,                 1.1534,                 1.3152,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.5987,                 1.0711,                 1.1225,                0.73876,                0.63437,                0.70268,                0.35602,                 1.8667,                 1.1445,                 1.3371,                0.00703,                0.00703,                0.00703
                     62,                 1.5899,                 1.0692,                  1.125,                0.73866,                0.61438,                0.70743,                0.35801,                 1.8861,                 1.1187,                 1.3353,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.6106,                 1.0835,                 1.1282,                0.69713,                0.61383,                0.70816,                0.37331,                 1.8768,                 1.1561,                 1.3208,               0.006931,               0.006931,               0.006931
                     64,                  1.588,                 1.0685,                 1.1154,                0.72108,                 0.6195,                0.72466,                0.38474,                 1.8722,                 1.1467,                 1.3103,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.564,                 1.0405,                 1.1012,                0.72827,                0.63293,                 0.7036,                0.36305,                 1.9007,                 1.1442,                 1.3379,               0.006832,               0.006832,               0.006832
                     66,                  1.568,                 1.0261,                 1.1141,                0.82357,                0.64171,                 0.7363,                0.40647,                  1.878,                 1.0972,                 1.3097,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.5574,                 1.0217,                  1.103,                0.74263,                0.60635,                0.72472,                0.41097,                 1.8504,                 1.1134,                 1.3152,               0.006733,               0.006733,               0.006733
                     68,                 1.5465,                 1.0154,                 1.0971,                0.71447,                0.62396,                0.71737,                0.36994,                 1.8168,                 1.1545,                 1.3022,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.547,                0.99016,                  1.102,                0.73126,                0.65388,                0.73447,                0.37391,                 1.8417,                 1.0995,                 1.2912,               0.006634,               0.006634,               0.006634
                     70,                 1.5462,                 1.0063,                 1.1015,                0.70552,                0.64276,                0.73236,                0.42287,                  1.814,                 1.0718,                 1.2825,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.5348,                 1.0066,                 1.0956,                0.70073,                0.63188,                0.72298,                0.39354,                 1.8093,                 1.1226,                 1.2862,               0.006535,               0.006535,               0.006535
                     72,                 1.5138,                0.98402,                 1.0802,                0.74598,                0.66106,                 0.7547,                0.39315,                 1.8366,                 1.0615,                  1.309,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.5103,                0.96578,                 1.0829,                0.71442,                0.67488,                0.74094,                0.40314,                 1.7914,                 1.0608,                 1.2797,               0.006436,               0.006436,               0.006436
                     74,                 1.5205,                0.97242,                 1.0916,                0.72527,                0.68148,                0.76166,                0.45456,                 1.7912,                 1.0562,                 1.2689,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4948,                0.96516,                 1.0794,                0.67833,                0.69279,                0.75011,                0.44914,                 1.7566,                 1.0764,                 1.2711,               0.006337,               0.006337,               0.006337
                     76,                 1.4997,                0.95901,                 1.0771,                0.71104,                0.68596,                0.75155,                0.44937,                 1.7853,                  1.063,                 1.2731,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.456,                0.92114,                 1.0637,                0.69738,                0.69898,                0.75965,                0.42741,                 1.7561,                 1.0617,                  1.252,               0.006238,               0.006238,               0.006238
                     78,                 1.4818,                0.94113,                 1.0701,                0.70217,                0.68265,                0.75639,                0.42705,                 1.7629,                 1.0468,                  1.247,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.4624,                0.91634,                  1.063,                0.70051,                0.67116,                0.75151,                0.41807,                 1.8065,                 1.0682,                 1.2743,               0.006139,               0.006139,               0.006139
                     80,                 1.4624,                0.91981,                 1.0636,                0.68245,                0.66579,                 0.7384,                0.39309,                 1.8013,                  1.082,                 1.2745,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4589,                0.91006,                 1.0608,                0.72776,                 0.6685,                0.75124,                0.38961,                 1.7276,                 1.0668,                 1.2463,                0.00604,                0.00604,                0.00604
                     82,                 1.4512,                0.89839,                 1.0611,                0.79766,                0.64863,                 0.7553,                  0.409,                 1.7299,                 1.0346,                 1.2592,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.4165,                0.88607,                 1.0467,                  0.731,                0.69115,                0.76517,                0.41947,                 1.7564,                 1.0213,                 1.2677,               0.005941,               0.005941,               0.005941
                     84,                 1.4427,                0.90322,                  1.058,                0.77723,                0.69151,                0.76886,                0.40398,                 1.7031,                0.98654,                 1.2401,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.4352,                0.90687,                 1.0499,                0.71871,                0.72286,                0.77494,                0.44369,                 1.6631,                 1.0049,                 1.2223,               0.005842,               0.005842,               0.005842
                     86,                 1.4315,                 0.8972,                 1.0458,                 0.8347,                0.67546,                0.77861,                0.44299,                 1.6999,                 1.0104,                 1.2269,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.4092,                  0.878,                 1.0414,                0.75141,                0.70457,                0.77143,                0.43362,                 1.7098,                 1.0105,                 1.2284,               0.005743,               0.005743,               0.005743
                     88,                 1.4121,                 0.8792,                 1.0395,                0.76146,                0.71964,                0.79778,                0.45651,                 1.6739,                0.97439,                 1.2041,              0.0056935,              0.0056935,              0.0056935
                     89,                  1.397,                0.86731,                  1.038,                 0.7502,                0.73141,                0.79068,                0.44385,                  1.662,                0.94766,                 1.2029,               0.005644,               0.005644,               0.005644
                     90,                 1.3983,                0.86916,                 1.0341,                0.72089,                0.74232,                0.79403,                0.41908,                 1.6927,                0.96865,                 1.2142,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3872,                0.87233,                 1.0309,                0.77086,                0.72608,                 0.7976,                0.42785,                 1.6822,                0.96247,                 1.2131,               0.005545,               0.005545,               0.005545
                     92,                 1.3852,                0.84907,                 1.0333,                0.73526,                0.73255,                0.80246,                0.42528,                 1.6732,                0.95189,                 1.2135,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3861,                0.84702,                 1.0365,                0.80106,                0.67892,                0.79091,                 0.4374,                 1.6646,                0.94148,                 1.2055,               0.005446,               0.005446,               0.005446
                     94,                 1.3622,                0.83624,                 1.0203,                0.77976,                0.71578,                0.78988,                0.44245,                 1.6774,                0.95195,                 1.1997,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3681,                0.84615,                 1.0183,                0.85641,                0.68435,                0.80403,                0.44022,                 1.6462,                0.92106,                 1.1951,               0.005347,               0.005347,               0.005347
                     96,                 1.3537,                0.82983,                 1.0174,                0.72692,                0.74185,                0.80117,                0.44206,                 1.6407,                0.93053,                 1.1927,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3481,                0.82437,                 1.0152,                0.80123,                0.71729,                 0.7966,                0.44599,                 1.6284,                0.90541,                 1.2075,               0.005248,               0.005248,               0.005248
                     98,                 1.3202,                 0.8036,                 1.0081,                0.82655,                0.67184,                0.80079,                0.46987,                 1.6497,                0.92856,                 1.2049,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3369,                0.81407,                 1.0089,                0.87664,                0.68865,                0.81453,                0.45673,                 1.5993,                0.89379,                 1.1823,               0.005149,               0.005149,               0.005149
                    100,                 1.3213,                0.80734,                 1.0072,                0.87208,                0.69824,                0.80482,                0.46493,                 1.6022,                0.91667,                 1.1816,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3288,                0.80327,                 1.0105,                0.77697,                0.73077,                0.80757,                0.47442,                 1.5773,                0.89204,                 1.1778,                0.00505,                0.00505,                0.00505
                    102,                 1.3289,                0.80903,                 1.0115,                0.86799,                0.67725,                0.81301,                0.47067,                 1.6019,                0.88176,                 1.1897,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2972,                 0.7826,                 0.9984,                0.84385,                 0.7324,                0.81028,                0.48703,                 1.5992,                0.88097,                 1.1922,               0.004951,               0.004951,               0.004951
                    104,                 1.3114,                0.79348,                 1.0035,                0.81554,                0.68711,                0.80402,                0.47262,                 1.5709,                0.91728,                 1.1697,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2977,                0.78667,                 1.0019,                0.84659,                0.71405,                0.80595,                0.49834,                 1.6133,                0.91251,                 1.1762,               0.004852,               0.004852,               0.004852
                    106,                 1.2908,                0.78254,                0.99637,                0.82912,                 0.7193,                0.80664,                0.47909,                 1.5678,                0.89608,                 1.1647,              0.0048025,              0.0048025,              0.0048025
                    107,                  1.282,                0.77522,                0.99694,                0.86621,                0.71918,                0.81359,                 0.4858,                 1.5591,                0.89217,                 1.1692,               0.004753,               0.004753,               0.004753
                    108,                 1.2856,                0.77522,                 0.9916,                0.83901,                0.71589,                0.81181,                0.49583,                 1.5497,                 0.8768,                 1.1579,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2919,                 0.7748,                0.99957,                0.83992,                 0.7271,                0.81626,                0.49331,                 1.5747,                0.86106,                 1.1814,               0.004654,               0.004654,               0.004654
                    110,                 1.2782,                0.76436,                0.98878,                0.75836,                 0.7507,                0.82082,                0.46939,                 1.5475,                0.87039,                 1.1592,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2709,                 0.7667,                0.98729,                0.74548,                0.76747,                0.82277,                 0.4922,                 1.5482,                0.88111,                 1.1555,               0.004555,               0.004555,               0.004555
                    112,                 1.2557,                0.74182,                 0.9818,                0.83658,                0.73111,                0.81647,                0.49756,                  1.545,                0.89584,                 1.1603,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.2593,                0.75298,                0.98225,                0.79888,                 0.7594,                0.82324,                0.50516,                 1.5333,                0.85458,                 1.1521,               0.004456,               0.004456,               0.004456
                    114,                 1.2492,                0.73116,                0.98206,                0.85812,                0.70412,                0.80977,                0.51821,                 1.5795,                0.89989,                 1.1675,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2572,                0.74477,                0.98301,                0.83187,                0.73192,                0.81516,                0.49962,                 1.5929,                0.89667,                 1.1641,               0.004357,               0.004357,               0.004357
                    116,                 1.2491,                0.73549,                0.98155,                0.83191,                0.72275,                0.81676,                0.50162,                 1.5694,                0.87739,                 1.1626,              0.0043075,              0.0043075,              0.0043075
                    117,                  1.256,                0.74898,                0.98315,                0.83486,                0.73496,                0.82398,                0.49489,                 1.5613,                0.87801,                 1.1619,               0.004258,               0.004258,               0.004258
                    118,                 1.2295,                0.73403,                0.97365,                0.88136,                0.73215,                0.82964,                0.48224,                 1.5474,                0.86992,                 1.1514,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.2273,                0.73099,                0.97656,                0.81427,                0.75273,                0.82812,                 0.4966,                 1.4956,                0.83913,                 1.1301,               0.004159,               0.004159,               0.004159
                    120,                 1.2159,                 0.7133,                0.97532,                0.81141,                0.75636,                0.82872,                0.51377,                 1.4928,                0.84779,                  1.133,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.2199,                0.72662,                0.96615,                0.81867,                0.75183,                0.82559,                0.52176,                 1.5182,                0.83732,                 1.1387,                0.00406,                0.00406,                0.00406
                    122,                 1.2236,                0.72021,                0.97094,                0.87989,                0.73347,                0.84459,                0.52365,                 1.5287,                0.82221,                 1.1371,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.2149,                0.71343,                0.97218,                0.83696,                0.76151,                0.84247,                0.53008,                 1.5167,                0.82803,                 1.1438,               0.003961,               0.003961,               0.003961
                    124,                 1.1983,                0.71205,                0.96644,                0.85843,                0.74261,                0.83171,                0.53136,                 1.4998,                0.84347,                 1.1328,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.1965,                0.70062,                0.96345,                0.86208,                0.71905,                0.83053,                0.53367,                 1.4967,                0.84909,                 1.1416,               0.003862,               0.003862,               0.003862
                    126,                 1.1979,                0.70301,                0.96321,                0.88066,                0.72491,                0.84039,                0.52036,                 1.5048,                0.81678,                 1.1403,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1953,                0.69582,                0.96247,                0.83782,                0.77842,                0.83186,                0.52983,                 1.5102,                0.81499,                 1.1384,               0.003763,               0.003763,               0.003763
                    128,                 1.1885,                0.69705,                 0.9656,                0.85457,                0.75484,                0.83487,                0.53118,                 1.5009,                0.83557,                 1.1256,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.1885,                0.69566,                0.96496,                0.85571,                0.76173,                0.84498,                0.52924,                 1.5283,                0.82436,                 1.1387,               0.003664,               0.003664,               0.003664
                    130,                 1.1871,                 0.6867,                0.96182,                0.81928,                0.78027,                0.83537,                0.53519,                 1.5065,                0.84763,                 1.1345,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.1574,                0.67728,                0.95397,                0.88443,                0.72793,                0.83605,                 0.5211,                 1.5059,                0.85193,                 1.1279,               0.003565,               0.003565,               0.003565
                    132,                 1.1525,                0.67266,                0.95477,                0.87107,                0.74572,                0.84078,                0.52105,                 1.4922,                0.83747,                 1.1151,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.1768,                0.69108,                0.96089,                0.82935,                0.76319,                0.83683,                0.52053,                 1.5088,                0.83954,                 1.1314,               0.003466,               0.003466,               0.003466
                    134,                 1.1546,                0.67496,                0.95858,                0.86112,                0.77134,                 0.8389,                0.51995,                 1.4894,                0.83419,                 1.1215,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.1472,                0.66548,                 0.9539,                0.82573,                0.77218,                0.83326,                0.52351,                 1.4878,                0.82996,                 1.1203,               0.003367,               0.003367,               0.003367
                    136,                 1.1366,                0.65448,                0.95048,                0.86435,                0.76828,                0.83905,                0.52177,                 1.4973,                 0.8109,                 1.1226,              0.0033175,              0.0033175,              0.0033175
